event_date,cart,purchase,return,view,total_revenue
2023-01-01,2,4,2,3,13197.0
2023-01-02,3,4,3,5,15797.0
2023-01-03,5,3,4,2,3199.0
2023-01-04,3,3,3,3,15598.0
2023-01-05,1,5,1,5,30195.0
2023-01-06,1,7,2,3,26494.0
2023-01-07,0,3,5,3,10697.0
2023-01-08,4,2,1,1,13398.0
2023-01-09,3,2,2,2,6998.0
2023-01-10,1,4,4,1,27596.0
2023-01-11,3,2,0,0,14598.0
2023-01-12,3,3,4,3,2698.0
2023-01-13,5,2,2,3,9399.0
2023-01-14,4,0,2,3,-6399.0
2023-01-15,5,9,4,4,54291.0
2023-01-16,1,1,1,2,1999.0
2023-01-17,5,2,1,0,3298.0
2023-01-18,5,6,2,0,32294.0
2023-01-19,3,3,4,1,10198.0
2023-01-20,2,1,3,4,8099.0
2023-01-21,5,4,3,4,21496.0
2023-01-22,5,4,3,1,-8901.0
2023-01-23,3,2,5,2,3199.0
2023-01-24,4,6,1,2,8595.0
2023-01-25,1,1,4,1,1999.0
2023-01-26,1,0,2,2,0.0
2023-01-27,2,2,4,3,1798.0
2023-01-28,1,3,3,4,8798.0
2023-01-29,2,5,2,3,19896.0
2023-01-30,1,0,2,3,0.0
2023-01-31,0,2,0,2,10198.0
2023-02-01,4,3,2,1,10098.0
2023-02-02,5,1,2,7,6498.0
2023-02-03,1,4,3,5,20996.0
2023-02-04,2,1,2,4,6399.0
2023-02-05,0,2,0,2,10898.0
2023-02-06,1,1,3,3,-5299.0
2023-02-07,7,2,5,2,8798.0
2023-02-08,1,4,1,1,21296.0
2023-02-09,3,4,2,6,14198.0
2023-02-10,2,4,4,1,5899.0
2023-02-11,4,2,0,1,10198.0
2023-02-12,6,4,2,0,18196.0
2023-02-13,3,5,1,5,11996.0
2023-02-14,3,2,2,4,-1301.0
2023-02-15,2,4,2,3,26595.0
2023-02-16,4,3,2,2,12597.0
2023-02-17,3,2,5,0,2999.0
2023-02-18,2,3,2,2,9697.0
2023-02-19,1,1,4,3,0.0
2023-02-20,4,1,2,1,899.0
2023-02-21,4,3,1,2,17796.0
2023-02-22,3,2,3,4,2399.0
2023-02-23,9,1,4,2,5599.0
2023-02-24,2,1,1,4,5498.0
2023-02-25,1,2,3,4,-5400.0
2023-02-26,4,4,1,4,19296.0
2023-02-27,3,2,2,2,4699.0
2023-02-28,2,4,2,4,13597.0
2023-03-01,1,6,6,5,21496.0
2023-03-02,1,3,2,1,14397.0
2023-03-03,3,3,3,2,7799.0
2023-03-04,1,2,1,4,8398.0
2023-03-05,4,3,3,0,17199.0
2023-03-06,2,4,1,2,16595.0
2023-03-07,2,4,4,1,17697.0
2023-03-08,3,3,1,1,3498.0
2023-03-09,4,3,5,7,-5300.0
2023-03-10,1,4,3,6,14398.0
2023-03-11,4,2,5,2,7799.0
2023-03-12,3,1,1,2,9999.0
2023-03-13,1,4,5,3,9697.0
2023-03-14,1,1,0,3,5599.0
2023-03-15,2,3,1,4,12197.0
2023-03-16,5,0,2,5,6399.0
2023-03-17,0,3,1,0,10397.0
2023-03-18,5,1,0,1,5599.0
2023-03-19,3,2,3,1,8796.0
2023-03-20,4,6,3,4,29193.0
2023-03-21,0,4,4,0,12696.0
2023-03-22,5,3,3,4,2598.0
2023-03-23,3,1,1,3,2399.0
2023-03-24,2,2,2,1,-12600.0
2023-03-25,8,4,6,1,32195.0
2023-03-26,4,2,5,0,8798.0
2023-03-27,2,2,2,3,-4601.0
2023-03-28,5,2,5,4,-1000.0
2023-03-29,3,2,1,1,2799.0
2023-03-30,1,2,4,2,4200.0
2023-03-31,2,2,2,3,9198.0
2023-04-01,1,1,1,2,2399.0
2023-04-02,3,4,4,3,19096.0
2023-04-03,2,4,3,0,20696.0
2023-04-04,3,4,0,1,17396.0
2023-04-05,2,2,2,2,3000.0
2023-04-06,2,1,2,6,899.0
2023-04-07,3,2,3,3,11498.0
2023-04-08,5,6,3,4,23896.0
2023-04-09,2,3,1,2,15998.0
2023-04-10,4,5,1,3,15696.0
2023-04-11,6,3,2,2,13198.0
2023-04-12,7,7,1,2,23493.0
2023-04-13,0,2,2,4,14297.0
2023-04-14,3,1,1,0,6399.0
2023-04-15,0,5,1,2,38995.0
2023-04-16,4,3,2,2,7497.0
2023-04-17,2,0,4,2,0.0
2023-04-18,5,4,3,2,21597.0
2023-04-19,4,1,0,1,899.0
2023-04-20,2,3,2,6,13497.0
2023-04-21,3,5,3,3,8498.0
2023-04-22,5,3,1,2,14297.0
2023-04-23,2,3,4,7,10196.0
2023-04-24,2,6,1,3,57893.0
2023-04-25,2,3,0,3,8797.0
2023-04-26,4,3,1,5,11996.0
2023-04-27,5,3,2,4,14797.0
2023-04-28,5,5,3,2,24495.0
2023-04-29,3,1,4,2,101.0
2023-04-30,1,0,1,2,0.0
2023-05-01,5,6,2,3,18095.0
2023-05-02,1,4,0,3,14096.0
2023-05-03,3,3,1,4,10498.0
2023-05-04,1,4,2,3,10397.0
2023-05-05,4,0,2,3,0.0
2023-05-06,2,3,1,3,6798.0
2023-05-07,3,0,3,2,5599.0
2023-05-08,3,1,4,4,3399.0
2023-05-09,2,3,3,2,6198.0
2023-05-10,3,0,2,5,0.0
2023-05-11,2,4,1,1,21496.0
2023-05-12,3,1,4,3,8199.0
